ID,Title,Author(s),Source,Journal,Language(s),Publication year
S0104-40362022000401089-scl,Programa de avaliação da Educação Básica do Espírito Santo: repercussões nas escolas e no Ensino de matemática,"Lima, Rosiane Pereira, Fassarella, Lúcio Souza",Ensaio: Avaliação e Políticas Públicas em Educação; 30(117); 1089-1111,Ensaio: Avaliação e Políticas Públicas em Educação,Português,2022
S1980-57642022000500457-scl,Prevalence of cognitive impairment in Brazilian indigenous community from Amazonas,"Carvalho, Anna Paula de, Brucki, Sonia Maria Dozzi, Nitrini, Ricardo, Bezerra, Camila Carlos, Silva, Fernanda Carini da, Souza-Talarico, Juliana Nery de",Dementia & Neuropsychologia; 16(4); 457-465,Dementia & Neuropsychologia,Inglês,2022
S1980-57642022000500481-scl,Three verbal fluency tasks: Normative data and convergent validity in Argentines over 50 years,"Martino, Pablo, Cervigni, Mauricio, Portillo, Nelson, Gallegos, Miguel, Politis, Daniel, Bortoli, Miguel Ángel De, Vivas, Jorge",Dementia & Neuropsychologia; 16(4); 481-488,Dementia & Neuropsychologia,Inglês,2022
S0103-64402022000600044-scl,Development and professional validation of an App to support Oral Cancer Screening,"Rêgo, Talita Jordânia Rocha do, Lemos, José Vitor Mota, Matos, Amanda Pinheiro Leitão, Caetano, Caio Ferreira Freire, Dantas, Thinali Sousa, Sousa, Fabrício Bitu, Barros Filho, Edgar Marçal de, Silva, Paulo Goberlânio de Barros",Brazilian Dental Journal; 33(6); 44-55,Brazilian Dental Journal,Inglês,2022
S0103-636X2022000301236-scl,Potencialidades e Desafios do Ensino de Matemática Online: exemplo de uma experiência com estudantes de Engenharia do Ensino Politécnico em Portugal,"Paulo, Joana Becker, Lucas, Catarina Oliveira",Bolema: Boletim de Educação Matemática; 36(74); 1236-1255,Bolema: Boletim de Educação Matemática,Português,2022
S1984-92302022000400750-scl,"A Pragmatic Way to Open Management Research and Education: Playfulness, Ambiguity, and Deterritorialization","Vaujany, François-Xavier de, Heimstädt, Maximilian",Organizações & Sociedade; 29(103); 750-781,Organizações & Sociedade,"Português, Inglês",2022
S0103-11042022000700062-scl,Abrangência do Programa Saúde na Escola em Vitória de Santo Antão-PE AntãoPE Antão PE,"Andrade, Priscila Maria da Cruz, Silva, Rayane Tamyres da, Pereira, Taline de Paiva, Silva, Bruno Rafael Vieira Souza, Santiago, Ladyodeyse da Cunha Silva, Lorena Sobrinho, José Eudes de, Cardoso, Mirian Domingos",Saúde em Debate; 46(spe3); 62-71,Saúde em Debate,Português,2022
S0103-11042022000700244-scl,Programa Saúde na Escola: desafios e possibilidades para promover saúde na perspectiva da alimentação saudável Escola,"DallaCosta, Marcia, Rodrigues, Rosa Maria, Schütz, Gabriel, Conterno, Solange",Saúde em Debate; 46(spe3); 244-260,Saúde em Debate,Português,2022
S0066-782X2022001200035-scl,Virtual Case-Based Learning: Nova Estratégia de Ensino e de Treinamento Médico Digital Humanizado em Cardiologia,"Canesin, Manoel Fernandes, Furtado, Fabrício Nogueira, Gonçalves, Rodrigo Marques, Carraro, Diogo Cesar, Oliveira, Thaísa Mariela Nascimento de, Rodrigues, Ricardo, Fuganti, Cláudio José, Mesas, Cézar Eumann, Uemura, Laércio",Arquivos Brasileiros de Cardiologia; 119(5); 35-42,Arquivos Brasileiros de Cardiologia,"Português, Inglês",2022
S1679-39512022000600823-scl,Por uma orientação ao impacto societal da pós-graduação em administração no Brasil pósgraduação pós graduação,"Costa, Francisco José da, Machado, Márcio André Veras, Câmara, Samuel Façanha",Cadernos EBAPE.BR; 20(6); 823-835,Cadernos EBAPE.BR,Português,2022
S0066-782X2022001200014-scl,Ensino do Raciocínio Clínico Orientado pela Teoria dos Scripts de Doenças,"Oliveira, Juliana de Cássia Vaz, Peixoto, Aline Barbosa, Marinho, Gustavo Eugênio Martins, Peixoto, José Maria",Arquivos Brasileiros de Cardiologia; 119(5); 14-21,Arquivos Brasileiros de Cardiologia,"Português, Inglês",2022
S1413-81232022001104303-scl,Inequalities in food acquisition according to the social profiles of the head of households in Brazil,"Sgambato, Michele Ribeiro, Lignani, Juliana de Bem, Pires, Caroline Abreu, Ribeiro, Eloah Costa de Sant Anna, Domingos, Talita Barbosa, Ferreira, Aline Alves, Sichieri, Rosely, Oliveira, Lívia Gomes de, Salles-Costa, Rosana",Ciência & Saúde Coletiva; 27(11); 4303-4314,Ciência & Saúde Coletiva,Inglês,2022
S1413-81232022001104175-scl,Revisão sistemática sobre o efeito do programa escolar de prevenção ao uso de drogas Keepin’ it REAL: traduzido e implementado no Brasil pelo PROERD,"Valente, Juliana Y., Galvão, Patricia Paiva de Oliveira, Gusmoes, Julia Dell Sol Passos, Sanchez, Zila M.",Ciência & Saúde Coletiva; 27(11); 4175-4189,Ciência & Saúde Coletiva,"Português, Inglês",2022
S2595-31922022000400369-scl,Influence of cognitive performance on the response to pain education guidelines in patients with chronic painful temporomandibular disorders,"Prado, Amaury Martins, Silva, Mirela Cristina da, Mélo, Alex Moreira, Melchior, Melissa de Oliveira, Magri, Laís Valencise",BrJP; 5(4); 369-374,BrJP,Inglês,2022
S2595-31922022000400375-scl,Assessment of behavior-related pain in school teachers during emergency remote teaching: cross-sectional study behaviorrelated behavior related teaching crosssectional cross sectional,"Alfaia, Fabiana Alencar, Ribeiro, Victor Barbosa, Silva, Andressa Stephanie Fernandes da, Leite, William Bezerra, Silva, Stephanya Covas da, Reis, Rafael de Menezes",BrJP; 5(4); 375-381,BrJP,Inglês,2022
S1413-99362022000400028-scl,A abertura científica: O processo de ressignificação a partir dos movimentos Open Access e Open Science científica,"Gama, Ivanilma de Oliveira, Cianconi, Regina de Barros, Goméz, Maria Nélida González de",Perspectivas em Ciência da Informação; 27(4); 28-53,Perspectivas em Ciência da Informação,Português,2022
S1413-82712022000400751-scl,Parental practices under the perspective of incarcerated fathers,"Cúnico, Sabrina Daiana, Almeida-Segundo, Damião Soares de, Pizzinato, Adolfo",Psico-USF; 27(4); 751-763,Psico-USF,Inglês,2022
S0102-36162022000500795-scl,Translation and Transcultural Adaptation of the Milestones Instrument to Assess Teaching in Medical Residency Services on Orthopedics and Traumatology,"Castro, Ubiratan Brum de, Gomes, Gustavo Remigio, Simão, Kalil Francisco Restivo, Egito, Liev José Cahino do, Figueiredo, Sávio Daniel Freire de Albuquerque, Bispo Júnior, Rosalvo Zósimo",Revista Brasileira de Ortopedia; 57(5); 795-801,Revista Brasileira de Ortopedia,"Português, Inglês",2022
S1678-86212022000300047-scl,Regional inequalities in electricity access versus quality of life in Brazil,"Thives, Liseane Padilha, Ghisi, Enedir, Thives Júnior, Juarez Jonas",Ambiente Construído; 22(3); 47-65,Ambiente Construído,Inglês,2022
S1413-81232022000903715-scl,Violência sexual: avaliação dos casos e da atenção às mulheres em unidades de saúde especializadas e não especializadas,"Melo, Cristiane Magalhães de, Soares, Marcela Quaresma, Bevilacqua, Paula Dias",Ciência & Saúde Coletiva; 27(9); 3715-3728,Ciência & Saúde Coletiva,"Português, Inglês",2022
S1413-81232022000903729-scl,Percepção e atitude do cirurgião-dentista diante do atendimento emergencial a mulheres em situação de violência: uma revisão de escopo,"Pereira, Silvilene Giovane Martins, Vargas, Andrea Maria Duarte, Sampaio, Aline Araujo, Silva, Carlos José de Paula, Matoso, Bárbara da Silva Mourthé, Ferreira, Efigênia Ferreira e",Ciência & Saúde Coletiva; 27(9); 3729-3740,Ciência & Saúde Coletiva,"Português, Inglês",2022
S1413-81232022000903751-scl,Políticas de ampliação do acesso ao ensino superior e mudança no perfil de egressos de medicina no Brasil: um estudo transversal,"Figueiredo, Alexandre Medeiros de, Lima, Kenio Costa de, Massuda, Adriano, Azevedo, George Dantas de",Ciência & Saúde Coletiva; 27(9); 3751-3762,Ciência & Saúde Coletiva,"Português, Inglês",2022
S1980-57642022000300347-scl,Cognitive impairment among older adults living in the community and in nursing home in Indonesia: a pilot study,"Setiyani, Rahmi, Iskandar, Asep",Dementia & Neuropsychologia; 16(3); 347-353,Dementia & Neuropsychologia,Inglês,2022
